"UserID","OrigFullname","KEY1","KEY3","DuplicCountKEY3","DupK3WithUID","SourceFile","OrigRecordID","Party","OrigPartyOrRiding","ContribDate","AmountDollar","City","ProvinceCode","PostalCode","CleanFullname"
126,"Roger Schrödinger","roger schrodinger|H2A2E1|Liberal","roger|H2A2E1|Liberal",1,"-","LiberalTEST.csv",3,"Liberal","Saint-Léonard--Saint-Michel Federal Liberal Association",2013-12-02,200,"Montréal","QC","H2A2E1","roger schrodinger"
128,"Marie-Thérèse A. Möët-Târôt","marietherese a moettarot|L1J5L7|Liberal","marietherese|L1J5L7|Liberal",1,"-","LiberalTEST.csv",3,"Liberal","Whitby--Oshawa Federal Liberal Association",2013-12-31,77.5,"Oshawa","ON","L1J5L7","marietherese a moettarot"
130,"Martine Friedman","martine friedman|S3N2P9|Liberal","martine|S3N2P9|Liberal",1,"-","LiberalTEST.csv",2,"Liberal","Yorkton--Melville Federal Liberal Association",2013-05-09,400,"Yorkton","SK","S3N2P9","martine friedman"
131,"Kasimir Friedman","kasimir friedman|S3N2P9|Liberal","kasimir|S3N2P9|Liberal",1,"-","LiberalTEST.csv",1,"Liberal","Yorkton--Melville Federal Liberal Association",2013-05-09,400,"Yorkton","SK","S3N2P9","kasimir friedman"
132,"H. Kirk Cameron","h kirk cameron|Y1A1Z1|Liberal","h|Y1A1Z1|Liberal",1,"-","LiberalTEST.csv",6,"Liberal","Yukon Liberal Association",2013-03-17,75,"Whitehorse","YT","Y1A1Z1","h kirk cameron"
133,"Robert D. St. Baptist","robert d st baptist|R3P0B7|Liberal","robert|R3P0B7|Liberal",1,"-","LiberalTEST.csv",12,"Liberal","Winnipeg South Centre Federal Liberal Association",2013-12-31,1080,"Winnipeg","MB","R3P0B7","robert d st baptist"
134,"Dan A. SimilarFN","dan a similarfn|M6H3J5|NDP","daniel|M6H3J5|NDP",1,"-","NDP-TEST.csv",167,"NDP","New Democratic Party",2013-07-15,100,"Toronto","ON","M6H3J5","dan a similarfn"
135,"Dan A. SimilarFN","dan a similarfn|V5V2K5|NDP","daniel|V5V2K5|NDP",2,"-","NDP-TEST.csv",173,"NDP","New Democratic Party",2013-10-29,120,"Vancouver","BC","V5V2K5","dan a similarfn"
136,"Daniel A. SimilarFN","daniel a similarfn|V5V2K5|NDP","daniel|V5V2K5|NDP",2,"135","NDP-TEST.csv",174,"NDP","New Democratic Party",2013-12-30,400,"Vancouver","BC","V5V2K5","daniel a similarfn"
137,"Peter L. SimilarFN","peter l similarfn|R0M0L0|NDP","peter|R0M0L0|NDP",2,"-","NDP-TEST.csv",6,"NDP","Brandon--Souris Federal NDP Riding Association",2013-09-26,1000,"Deleau","MB","R0M0L0","peter l similarfn"
138,"Pete L. SimilarFN","pete l similarfn|R0M0L0|NDP","peter|R0M0L0|NDP",2,"137","NDP-TEST.csv",7,"NDP","Brandon--Souris Federal NDP Riding Association",2013-10-27,1600,"Deleau","MB","R0M0L0","pete l similarfn"
139,"David N. Richardson","david n richardson|L7R4E6|NDP","david|L7R4E6|NDP",1,"-","NDP-TEST.csv",3,"NDP","Burlington Federal NDP Riding Association",2013-12-24,1000,"Burlington","ON","L7R4E6","david n richardson"
140,"Ann Battiston","ann battiston|V3N3S8|NDP","ann|V3N3S8|NDP",1,"-","NDP-TEST.csv",1,"NDP","Burnaby--New Westminster Federal NDP Riding Association",2013-12-29,437.5,"Burnaby","BC","V3N3S8","ann battiston"
141,"Terry B. Strykermetz","terry b strykermetz|R7B3H9|NDP","terry|R7B3H9|NDP",1,"-","NDP-TEST.csv",3,"NDP","Brandon--Souris Federal NDP Riding Association",2013-09-30,100,"Brandon","MB","R7B3H9","terry b strykermetz"
143,"Steven J Kurlansky","steven j kurlansky|R8N0Z4|NDP","steven|R8N0Z4|NDP",1,"-","NDP-TEST.csv",24,"NDP","Churchill Federal NDP Riding Association",2013-01-02,90,"Thompson","MB","R8N0Z4","steven j kurlansky"
145,"Mary Leblanc","mary leblanc|G6J1R3|NDP","mary|G6J1R3|NDP",2,"-","NDP-TEST.csv",4,"NDP","LaSalle--Émard Federal NDP Riding Association",2013-12-17,1200,"Saint-Étienne-de-Lauzon","QC","G6J1R3","mary leblanc"
146,"Marie Leblanc","marie leblanc|G6J1R3|NDP","mary|G6J1R3|NDP",2,"145","NDP-TEST.csv",5,"NDP","LaSalle--Émard Federal NDP Riding Association",2013-08-22,400,"Saint-Étienne-de-Lauzon","QC","G6J1R3","marie leblanc"
147,"Dr. Katherine F Diamond","katherine f diamond|T1K6G1|NDP","katherine|T1K6G1|NDP",1,"-","NDP-TEST.csv",6,"NDP","Lethbridge Federal NDP Electoral District Association",2013-12-13,400,"Lethbridge","AB","T1K6G1","katherine f diamond"
148,"Mr. Graham Picard","graham picard|T1K1K6|NDP","graham|T1K1K6|NDP",1,"-","NDP-TEST.csv",7,"NDP","Lethbridge Federal NDP Electoral District Association",2013-11-13,400,"Lethbridge","AB","T1K1K6","graham picard"
149,"Ms. Jonathan Norway","jonathan norway|T1J3W9|NDP","jonathan|T1J3W9|NDP",1,"-","NDP-TEST.csv",8,"NDP","Lethbridge Federal NDP Electoral District Association",2013-12-11,400,"Lethbridge","AB","T1J3W9","jonathan norway"
150,"Everest O'Neil","everest oneil|K2H7W7|NDP","everest|K2H7W7|NDP",1,"-","NDP-TEST.csv",6,"NDP","Longueuil--Pierre-Boucher NDP Riding Association",2013-12-31,300,"Nepean","ON","K2H7W7","everest oneil"
151,"Everest O'Neil","everest oneil|H4C2A2|NDP","everest|H4C2A2|NDP",1,"-","NDP-TEST.csv",7,"NDP","Longueuil--Pierre-Boucher NDP Riding Association",2013-12-31,300,"Montreal","QC","H4C2A2","everest oneil"
152,"Markus X. O'Brien","markus x obrien|N8M2X6|NDP","markus|N8M2X6|NDP",1,"-","NDP-TEST.csv",9,"NDP","Windsor West Federal NDP Riding Association",2013-12-31,399.96,"Essex","ON","N8M2X6","markus x obrien"
